x_mean,x_std,x_max,x_min,x_mad,y_mean,y_std,y_max,y_min,y_mad,z_mean,z_std,z_max,z_min,z_mad,activity
-7.286886,0.9177999,-6.2789803,-8.499097,0.8081406,7.686416,6.047243,16.167353,2.4925237,5.6539574,7.345907,7.250703,15.745122,-1.9477097,6.195745,Jogging
4.149666,3.8881156,8.539958,-0.9125633,3.3748195,10.228882,6.3080597,18.278507,2.8738933,5.3664174,-7.7862983,1.2172421,-6.0882955,-8.880466,1.1320022,Jogging
4.235928,1.3949169,5.8567495,2.4516625,1.1895103,2.705909,5.691115,8.19945,-5.134871,5.227187,7.7272773,3.4761932,12.489859,4.2904096,3.1750546,Jogging
4.095185,2.1708784,7.082581,1.9885708,1.9915978,4.4947147,10.333964,19.082108,-3.568531,9.724929,8.312952,7.861748,19.313654,1.4165162,7.3338013,Jogging
4.599138,3.9578822,10.18802,1.5390993,3.7259216,3.050958,0.20293863,3.214402,2.7649305,0.19068487,6.1654773,10.301703,19.57244,-5.47538,8.937975,Jogging
11.291268,7.1561246,18.278507,1.4573772,6.5559273,3.4595683,0.5172147,4.099725,2.8330324,0.42677093,2.4017212,1.0728323,3.9090397,1.4982382,1.0048789,Jogging
4.077024,5.1545453,11.264028,-0.5720546,4.7913356,3.777377,10.29699,18.0061,-6.0201936,9.485816,10.601171,5.486711,15.363752,2.9147544,5.1242776,Jogging
10.601171,4.8828564,15.785983,4.0588636,4.361538,5.4526787,6.499064,13.756551,-2.1111538,5.535914,2.0702927,7.711219,10.841797,-7.9270425,6.664891,Jogging
-5.5661826,5.7932057,1.6889231,-12.489859,4.8367367,-0.118043184,10.291651,13.906375,-10.501288,9.349612,9.116553,8.106219,19.231932,-0.61291564,6.743586,Jogging
2.7876313,3.6959498,7.014479,-1.9885708,3.1841345,1.8886881,12.731892,19.57244,-9.888372,11.789166,7.354988,8.113452,18.537292,-0.46309182,7.45487,Jogging
3.727435,2.9646573,7.7772183,0.7627395,2.6998556,-3.5004294,0.92544895,-2.6832085,-4.7943625,0.8626221,6.692131,5.954957,12.912089,-1.334794,5.3512826,Jogging
4.3948326,7.745347,13.6748295,-5.284695,6.453018,4.6445384,12.199716,19.57244,-10.310603,9.970094,11.159604,7.655995,17.733692,0.42223078,7.1582494,Jogging
4.163286,3.4833372,9.043911,1.1441092,3.2537498,5.448139,8.852311,16.276316,-5.407278,7.2369447,6.8056335,10.073836,19.57244,-5.053149,8.511204,Jogging
5.5661826,3.136632,9.997335,3.173541,2.9541023,8.085946,8.12367,19.57244,2.152015,7.657663,-1.4664574,3.5682595,1.1849703,-6.510526,3.3627126,Jogging
3.4368677,1.6856369,4.903325,1.0760075,1.5739069,6.065595,7.3235292,14.982383,-2.9556155,6.0141406,11.858783,6.2816963,17.079916,3.0237172,5.8900437,Jogging
3.881799,3.0245965,8.008764,0.84446156,2.7513103,4.508335,3.1060567,8.62168,1.1168685,2.7422302,5.820429,7.6987004,16.657684,-0.50395286,7.224837,Walking
3.2325628,4.588559,6.5922484,-3.255263,4.325217,1.098708,4.926693,6.2108784,-5.5571017,4.4372067,0.69917774,3.39458,5.325556,-2.7240696,3.084252,Walking
4.1769066,5.0849257,11.264028,-0.42223078,4.724747,5.334636,6.897317,15.050485,-0.27240697,6.4772325,3.7682962,8.863881,15.5135765,-5.8976107,7.8301864,Walking
3.3097446,7.759208,13.756551,-4.8216033,6.964537,0.3586692,1.5023737,2.4108016,-1.1441092,1.3680882,1.8115062,4.4598823,5.9793324,-4.372132,4.122425,Walking
1.0623871,3.4922493,5.9793324,-1.7978859,3.2779636,2.1747153,4.4772677,8.430995,-1.7978859,4.170853,6.4015636,5.725646,14.137921,0.46309182,5.157572,Walking
4.544656,5.297951,12.026767,0.46309182,4.988074,4.2904096,6.021652,12.789507,-0.42223078,5.666065,2.8738935,9.236893,15.132206,-7.164303,8.172209,Walking
5.0531487,7.3722205,15.431854,-0.9942854,6.9191365,0.33142844,1.6162685,2.6014864,-1.0351465,1.513372,3.9408207,3.504805,8.308413,-0.27240697,2.911728,Walking
0.8535418,5.0262876,7.164303,-5.134871,4.207174,2.270058,4.3787436,6.0474343,-3.8681788,4.092158,0.5493541,3.3311212,5.243834,-2.1383946,3.1296532,Walking
6.0792146,5.0376916,12.408136,0.08172209,4.2192807,3.7909966,5.9144764,11.985906,-1.7570249,5.4632726,3.2053216,6.2385983,12.026767,-1.334794,5.880964,Walking
-1.0760075,1.6301608,1.1441092,-2.7240696,1.4800777,8.966729,6.8818064,15.554437,-0.53119355,6.3319488,2.147475,7.115902,11.836082,-5.053149,6.459072,Walking
5.579803,4.7401466,11.727119,0.19068487,4.0982113,4.6082177,5.1397924,11.876944,0.95342433,4.845817,3.2280226,8.099936,14.206022,-5.09401,7.318667,Walking
-0.30418777,1.9673219,2.3426998,-2.3699405,1.7645917,3.6684139,5.3544,9.615966,-3.3642259,4.6884265,8.299332,5.4217463,13.102775,0.7218784,5.0516353,Walking
0.6642273,3.2636263,3.83,-3.8273177,2.9943638,6.9052577,5.5103917,14.67,2.45,5.176495,0.9765946,3.6237705,4.99,-3.79,3.1777296,Walking
5.1753945,4.1919165,10.88,0.92618364,3.80307,6.0683236,6.8460674,15.75,1.1849703,6.454451,4.9666667,6.5972943,14.29,-0.0,6.2155557,Walking
5.359524,4.213274,11.3,1.9885708,3.9603176,2.2244747,2.1262293,5.22,0.5,1.9970168,0.65362036,1.6894981,2.96,-1.04,1.5375863,Walking
2.9020026,1.7880937,5.33,1.0760075,1.6186651,0.93333334,1.6558851,3.26,-0.46,1.5511111,0.8421133,2.0491102,2.91,-1.95,1.8614088,Walking
2.3256617,3.375271,5.86,-2.22,3.0304413,6.016085,5.769671,12.11,-1.73,5.164057,8.4808855,5.161865,13.25,1.31,4.780591,Walking
9.820468,5.743197,14.94,1.8,5.3469787,2.479928,3.7486942,7.4,-1.69,3.2800481,4.6493535,8.270425,15.94,-3.64,7.5270963,Walking
1.906784,3.3133724,6.59,-0.57,3.1221437,3.7366078,3.617952,8.69,0.14982383,3.3022614,3.41998,3.8566103,8.58,-0.69,3.4400132,Walking
4.483085,3.7781255,9.81,1.46,3.5512764,4.430972,4.3133564,10.46,0.61291564,4.019352,5.0169926,5.926648,13.25,-0.46,5.488672,Walking
3.227541,6.6556363,12.64,-1.5,6.274973,2.5408022,8.132833,13.44,-6.09,7.266131,4.9041157,5.0952473,11.96,0.11,4.7039227,Walking
3.759413,2.2449324,6.82,1.4982382,2.0403917,0.8663209,1.3704545,2.79,-0.3,1.2824527,0.34395945,1.771655,2.3,-1.99,1.555973,Walking
3.994057,6.842155,12.91,-3.72,5.943962,4.27878,3.7769673,9.62,1.56634,3.5608132,1.2270645,1.6080636,3.45,-0.3,1.4819571,Walking
1.7982258,2.0890148,4.21,-0.88532263,1.7890323,5.136249,6.1841393,13.8,-0.23,5.7758346,1.6575799,3.499217,6.32,-2.11,3.1082802,Walking
3.764931,3.5110943,8.73,1.23,3.3100455,3.1157923,5.2321305,10.19,-2.3,4.7161384,1.6101174,3.2681725,6.21,-1.08,3.0665884,Walking
3.3184211,3.8622868,8.08,-1.38,3.1743858,2.4815981,3.671021,7.44,-1.33,3.3056014,3.1150491,3.8706348,8.54,-0.23,3.6166341,Walking
2.245962,3.4682827,6.7,-1.76,2.9693584,1.7539076,3.2974792,6.36,-1.18,3.0707283,2.6620615,3.680802,7.78,-0.72,3.4119594,Walking
3.4328568,4.172649,9.11,-0.8,3.7847621,4.4455056,4.6608996,11.03,0.89,4.389663,5.579869,5.5323195,13.4,1.46,5.2134204,Walking
4.8383822,5.602907,12.76,0.72,5.281079,5.3229156,6.332751,14.21,-0.08,5.924723,5.0155053,6.089071,13.59,0.04,5.71633,Walking
4.9657335,5.6101356,12.87,0.42,5.2695107,4.3520026,6.3339043,13.21,-1.23,5.905332,3.9590871,6.1188307,12.6,-0.7627395,5.7606087,Walking
2.4152381,8.976515,14.71,-6.47,8.196507,3.6772206,6.7835145,12.53,-3.95,5.901852,4.7760205,3.3246248,9.38,1.6480621,3.0693195,Walking
3.295336,1.9881463,5.9,1.0760075,1.7364429,0.28207442,1.2370025,2.03,-0.6537767,1.1652837,0.5348205,2.0123632,2.83,-2.07,1.7365469,Walking
4.098329,4.0766625,7.3549876,-1.65,3.8322194,3.9320743,8.682962,16.09,-3.64,8.105284,0.47487926,3.6163373,4.79,-4.06,3.0232527,Walking
3.9365947,4.431622,10.12,-0.04,4.12227,1.218728,3.6189144,5.79,-3.06,3.047515,2.8444748,4.048412,8.47,-0.89,3.7503502,Walking
2.3349314,3.9141994,7.55,-1.88,3.4767125,1.8732744,3.5740676,6.85,-1.38,3.3178167,3.1898105,4.0121446,8.58,-1.04,3.5934594,Walking
3.983718,4.291843,9.92,-0.08,3.9575214,4.734703,4.947004,11.73,1.1441092,4.663531,5.1509004,6.1780105,13.72,-0.61,5.7127337,Walking
5.1013565,6.444792,13.91,-1.33,5.872429,4.8401566,5.8624134,13.02,-0.42,5.4532294,3.3589306,7.0771313,13.29,-2.6832085,6.6207128,Walking
2.6072538,7.802487,13.53,-4.21,7.2818303,3.152857,8.437926,14.02,-6.55,7.244762,4.724057,3.774938,10.0,1.38,3.5172951,Walking
1.8933333,1.7289945,4.18,-0.0,1.5244445,0.12609266,1.2335289,1.73,-1.27,1.0692716,0.992857,2.3259132,3.21,-2.22,2.1419046,Walking
1.3138288,2.9138343,4.06,-2.72,2.6892192,5.0588446,6.8075414,11.84,-4.25,6.2058964,8.366789,7.4573574,14.41,-2.14,7.0045257,Walking
2.5792234,4.117061,7.08,-2.87,3.6328156,4.020972,9.887911,17.47,-6.02,8.966019,-0.27628788,2.6862533,1.92,-4.0588636,2.521717,Walking
3.930952,4.9891343,10.46,-1.65,4.352699,1.8461514,3.4145026,6.66,-0.89,3.2092323,2.8117743,3.625524,7.89,-0.34,3.3854837,Walking
3.5297,4.5700107,9.85,-0.8,4.2135334,4.8188972,5.1846986,12.15,1.04,4.8874016,5.0842338,5.730796,13.06,-0.15,5.3171782,Walking
4.57257,6.028712,12.91,-1.14,5.5582867,4.2849317,5.961716,12.6,-1.08,5.5433793,3.3967388,6.7061677,12.87,-1.7297841,6.3155074,Walking
4.489941,6.1660337,13.21,0.11,5.813372,2.170646,7.752286,12.98,-4.82,7.206236,3.3100977,7.570862,13.14,-5.28,6.5532684,Walking
3.6150687,6.1343164,12.26,-1.334794,5.763288,2.4922307,7.9307623,12.76,-6.55,6.84518,4.122857,5.3685803,11.5,-1.12,4.918095,Walking
3.806249,6.2877345,12.3,-2.72,5.662501,5.3880234,4.296928,11.45,1.99,4.041318,1.4436203,1.6240741,3.72,0.040861044,1.5175864,Walking
2.97499,8.294766,13.91,-6.17,7.2900066,4.1779647,5.1134496,10.99,-1.33,4.541357,3.6247032,2.3716428,6.82,1.1441092,2.130198,Walking
1.5861512,9.408516,13.91,-8.92,8.215899,3.3599281,5.5626884,10.84,-2.49,4.986715,4.2992954,2.3580906,7.46,1.7978859,2.1071365,Walking
5.46118,3.3443677,10.19,3.02,3.1525462,1.8402871,1.8590411,4.4,0.040861044,1.7064753,0.2799413,1.7538003,2.49,-1.8,1.4733725,Walking
0.8660207,3.284298,4.44,-3.49,2.9040139,3.8985775,6.3192267,10.92,-4.4,5.532385,8.948504,7.50077,14.63,-1.65,7.0656695,Walking
2.8863666,6.2942166,11.18,-4.06,5.529089,1.8154863,3.9331665,6.44,-3.173541,3.3260183,3.8975668,5.184286,10.88,-1.53,4.6549554,Walking
2.7109718,3.5203674,7.67,-0.15,3.3060188,4.214918,4.2285414,9.92,-0.19,3.8033879,4.4077363,3.9644165,9.89,0.65,3.6548424,Walking
3.8477561,5.6639256,11.84,-0.61,5.3281627,2.5248926,8.232122,13.87,-5.41,7.5634046,3.5809,7.6680617,13.53,-5.13,6.632734,Walking
3.5506127,5.6340513,10.99,-2.64,4.9595914,4.4875665,2.3885758,7.82,2.3426998,2.2216225,0.78896934,1.4816135,2.87,-0.46309182,1.3873535,Walking
0.35005867,1.2825786,2.11,-0.91,1.1732942,0.76499003,1.9133761,2.87,-1.76,1.6833267,2.3826675,4.49899,6.89,-3.76,4.0951114,Walking
9.305974,7.963537,15.7,-1.92,7.483982,2.3515847,4.329455,7.35,-3.21,3.707723,4.4948206,9.368556,17.35,-4.71,8.570121,Walking
-0.20114143,0.67807186,0.69,-0.95342433,0.5940943,4.0243053,5.6297474,11.96,-0.5,5.290463,2.629752,4.221077,8.01,-2.3,3.586832,Walking
3.437051,4.3321204,9.28,-1.08,3.8952992,4.5009522,3.7964952,9.72,0.8,3.4793653,4.11608,3.7861013,9.47,1.38,3.5692806,Walking
4.5568233,6.631983,13.67,-1.92,6.0754514,4.2183824,5.9608355,12.57,-0.95,5.567745,2.5642073,7.0008135,12.41,-3.26,6.563862,Walking
3.2841747,6.751179,11.92,-4.56,5.757217,4.9944615,3.5112107,9.96,2.49,3.310359,1.6335616,1.8533654,4.25,0.19068487,1.7442923,Walking
0.4089694,1.477925,2.49,-0.8,1.3873538,0.8865948,2.8753262,3.91,-2.98,2.57773,2.4636395,4.6986823,6.82,-4.06,4.349093,Walking
7.141342,8.88541,15.36,-5.2,8.227562,5.774063,4.2967825,8.962189,-0.3,4.049375,2.141331,6.7705026,11.56,-4.06,6.2791133,Walking
3.2078667,6.064777,11.54,-2.72,5.5547557,3.1803846,6.9528728,12.18,-4.75,5.999744,0.941866,3.3156521,4.9,-3.214402,2.7708454,Walking
2.006536,3.9365368,6.89,-2.75,3.2556427,2.303105,3.6043253,7.4,-0.3,3.3979301,2.2837312,4.001595,7.82,-1.5,3.6908462,Walking
3.2106717,4.738035,9.47,-1.99,4.172886,3.489126,4.5635533,9.81,-0.8,4.2139163,5.334762,5.0198293,12.37,0.9942854,4.690159,Walking
4.8288975,5.5886245,12.72,0.5,5.260735,5.400039,6.309376,14.21,-0.23,5.8733077,3.9462688,5.829567,12.18,-0.53119355,5.4891543,Walking
2.5645535,6.5060287,11.75,-2.49,6.123631,2.760574,9.266941,15.21,-7.01,8.299618,4.4220414,5.564518,11.73,-1.76,4.8719726,Walking
0.9702871,1.0323112,2.41,0.040861044,0.95980865,0.9345922,1.6328641,3.06,-0.91,1.4169384,0.972459,2.8052876,4.14,-2.68,2.4349725,Walking
0.654077,1.6005862,2.72,-1.18,1.377282,0.5444748,2.3611197,3.21,-2.53,2.0496497,1.7982515,4.4952817,6.66,-4.18,3.985501,Walking
6.2663655,7.5640564,14.21,-3.91,6.784244,7.434963,5.469445,11.304889,-0.3,5.156642,2.5780563,7.1547923,12.6,-3.64,6.681297,Walking
4.6154857,5.3638525,11.56,-1.5,4.6296763,1.1903459,3.5581129,6.05,-2.37,3.2397697,2.8974102,3.7233953,8.16,0.11,3.508393,Walking
4.1922894,4.5106735,10.57,0.89,4.2518067,4.838265,5.8643465,13.1,0.08,5.507824,4.9155054,6.231758,13.67,-0.34,5.83633,Walking
1.5548922,9.181794,13.82,-8.27,8.176738,3.3960207,6.7923446,12.45,-3.91,6.0359864,5.171011,3.2170389,9.72,2.8330324,3.0326595,Walking
0.3654078,1.721681,2.79,-1.04,1.6163949,0.5244748,2.184872,2.96,-2.34,1.9096498,1.4007238,3.8628764,5.28,-3.87,3.5138156,Walking
7.534369,8.7150545,13.8,-4.79,8.216247,3.1414673,4.380808,8.47,-2.26,3.6009781,3.1939595,9.318351,15.64,-6.78,8.29736,Walking
4.301644,5.1696043,11.26,-1.12,4.6389046,0.039315145,3.2499595,4.29,-3.6,2.8337898,3.215636,3.9711797,8.73,-0.46309182,3.6762426,Walking
4.0245724,4.3406076,9.77,-0.72,3.8302853,3.8398693,4.0878735,9.53,0.11,3.7934206,5.0588975,5.0389314,12.18,1.2666923,4.747402,Walking
5.2861905,6.7016783,14.63,-0.76,6.229206,4.7072926,6.2118726,13.48,-0.08,5.848471,1.6645535,6.973947,11.35,-4.79,6.4569645,Walking
3.4730332,6.8015037,12.6,-3.72,6.0846443,4.9815845,3.507408,9.92,2.11,3.292277,1.7108024,1.7739102,4.21,0.27240697,1.6661319,Walking
0.76983047,1.793556,3.3,-0.65,1.6867796,0.95826465,1.8078406,2.96,-1.42,1.5855098,0.9821133,2.6291177,3.87,-2.49,2.314742,Walking
3.6545002,5.182115,9.38,-3.17,4.549667,9.018849,8.321989,15.98,-2.68,7.799234,2.2903259,4.3805532,7.67,-3.06,3.5864494,Walking
2.7744615,5.9016504,10.12,-4.33,4.8970256,1.5214094,4.025316,6.24,-3.5957718,3.411454,4.4313564,5.1446896,11.41,-0.84,4.652429,Walking
1.4002613,3.799575,5.28,-3.759216,3.4396515,4.32831,5.0221586,11.11,-0.89,4.5211263,0.52512074,3.6510167,5.48,-3.21,3.3032532,Walking
3.4736006,5.6311264,10.84,-2.83,4.910933,0.98133105,3.6650498,6.13,-2.11,3.4324462,3.0145333,3.7094984,8.24,0.0,3.4836442,Walking
2.8740768,3.7699392,8.2,0.0,3.5506153,3.0291843,3.7855082,8.28,-0.5,3.5005436,3.8399804,3.9955301,9.3,-0.15,3.6400135,Walking
0.40861043,3.46153,4.18,-4.18,3.0590734,3.8964975,4.092789,9.43,-0.3405087,3.689002,4.9814677,5.368918,12.26,-0.53,4.8523555,Walking
4.712687,3.147059,9.04,1.6480621,2.884875,4.69758,3.9622595,10.12,0.7627395,3.6149466,6.4052773,5.2430286,13.59,1.2258313,4.7898154,Walking
5.811546,4.521022,11.69,0.6946377,3.9189692,5.7687798,5.405323,13.4,1.56634,5.08748,4.5988584,5.047383,11.26,-0.95342433,4.440761,Walking
5.698382,4.450088,11.69,1.0351465,3.9944117,6.012113,5.831175,14.25,1.56634,5.4919243,4.4308743,5.475378,11.73,-1.4573772,4.8660836,Walking
4.8167844,5.5750294,12.57,-0.29964766,5.1688104,3.7462685,8.018375,14.98,-3.21,7.4891534,4.6990085,7.0110135,14.37,-2.03,6.4473286,Walking
4.5989556,7.0877028,14.48,-1.8,6.587362,5.644403,2.9213614,9.62,2.6832085,2.650398,1.7896022,1.7459419,3.68,-0.53119355,1.5471972,Walking
0.5881539,2.4480429,3.45,-2.53,2.0787692,7.3844085,6.3239055,14.29,-0.99,5.582939,7.8132477,3.964761,10.95,2.22,3.7288313,Walking
4.013066,7.919284,15.17,-2.4108016,7.437956,2.3376973,2.444154,5.79,0.46309182,2.301535,3.2062685,3.502446,7.89,-0.53119355,3.1224873,Walking
5.168037,3.8409715,10.34,1.1441092,3.4479759,6.005623,5.044795,12.95,1.1168685,4.629585,5.722628,5.4151473,13.38,1.7978859,5.104914,Walking
2.858154,1.7590607,5.13,0.84446156,1.5145642,0.9330463,1.6526688,3.26,-0.42,1.5513024,1.2956228,1.7559403,3.53,-0.76,1.4895848,Walking
1.1483822,1.9897809,3.64,-1.23,1.6610785,2.8609,4.4405556,8.54,-2.3,3.7860668,10.853156,7.4452386,17.69,0.5,6.9021034,Walking
6.733724,6.4941792,13.8,-1.88,5.7424827,6.9961762,5.586444,11.35,-0.89,5.2574506,5.46013,8.830489,17.88,-1.879608,8.279912,Walking
4.7512975,5.462819,12.18,-0.8,4.9524684,1.9136204,3.8442008,7.27,-1.57,3.5709198,3.231846,3.5749419,7.86,-0.84446156,3.0854359,Walking
6.438441,4.6475706,12.26,0.88532263,3.8810394,5.9603257,5.453041,13.67,1.95,5.1397824,4.0230074,5.900643,11.92,-2.2609777,5.264662,Walking
3.8390083,1.4821362,5.09,1.7570249,1.387989,0.6118461,1.74146,3.06,-0.84446156,1.6321026,0.20333333,1.1075598,1.65,-1.04,0.96444446,Walking
1.2139593,3.2438772,5.41,-2.49,2.7973604,4.203751,4.882954,10.12,-1.8387469,4.0283318,3.077162,4.5643787,8.89,-2.26,3.8752253,Walking
6.322518,4.782419,12.76,1.3075534,4.291655,6.0525703,5.9883018,14.52,1.69,5.6449533,3.7847817,5.4664316,11.35,-1.3756552,5.0434794,Walking
3.0571232,2.0655859,5.41,0.38136974,1.7838358,0.4995434,1.6944823,2.87,-0.99,1.5803043,0.80866927,2.0296514,3.15,-1.8,1.7391127,Walking
9.885974,7.5784655,16.28,-0.76,7.0973163,4.2426286,5.3686247,11.69,-0.76,4.964914,2.8324592,5.805643,10.53,-3.49,5.131694,Walking
3.136093,3.6945882,8.31,-0.08172209,3.4492714,2.952061,3.7428474,8.2,-0.27,3.4986258,4.433718,3.8945563,9.92,1.27,3.6575212,Walking
2.476054,7.554108,13.14,-3.41,7.1092973,4.4330335,8.583909,16.09,-4.33,7.7713113,4.8964186,3.1680126,9.34,2.1792557,2.9623878,Walking
2.2110307,1.5065396,4.14,0.46309182,1.2859796,0.32914555,1.9046052,3.02,-1.12,1.793903,0.63838214,2.003824,2.87,-1.99,1.7522546,Walking
2.7691643,5.244643,8.69,-4.06,4.5527763,10.023913,7.507089,17.2,-0.34,6.909275,4.97317,4.098879,9.51,-0.42,3.5954463,Walking
2.0778468,4.10723,6.47,-3.41,3.6585646,9.747422,8.43868,18.24,-1.76,7.671614,3.4074879,2.1915925,5.05,0.31,2.0649922,Walking
6.5245194,4.7089176,10.34,-0.11,4.423013,4.983085,6.308635,13.72,-0.95,5.8246098,2.605564,5.789327,10.27,-3.72,5.1096244,Walking
1.5277692,2.843916,5.43,-1.2666923,2.6014872,3.8951075,3.655471,9.04,0.88532263,3.4299285,3.6303844,4.64126,9.92,-1.14,4.1930766,Walking
3.0139074,3.7520823,8.31,0.08172209,3.5307286,2.6979256,3.5044742,7.63,-0.19,3.2880497,3.8295238,4.152969,9.58,-0.08,3.8336508,Walking
4.009237,4.0136285,9.62,0.46,3.740509,5.4532743,4.854247,11.88,0.14982383,4.2844834,5.3760204,6.3015003,14.25,0.23,5.9159865,Walking
7.8680673,7.3448424,14.79,-2.3,6.778712,3.9508083,4.6458826,7.97,-2.56,4.3405385,4.12758,8.371401,15.64,-4.02,7.6749473,Walking
3.4746253,5.253874,9.51,-3.2961242,4.5138326,4.394631,3.8322759,9.66,0.65,3.510246,1.0776972,3.1289325,5.18,-2.41,2.7348683,Walking
3.9434898,3.7420743,9.19,0.72,3.4976733,5.2868233,4.0084705,10.92,1.920469,3.7554514,5.5524592,5.550812,13.4,1.4573772,5.2316937,Walking
3.5205352,5.9541364,11.75,-2.1383946,5.4863095,3.495349,9.755512,16.93,-5.94,8.956433,4.9441743,5.119762,12.07,0.27,4.75055,Walking
4.4063077,1.9989597,6.44,1.6889231,1.8115898,0.6458123,1.9396608,3.38,-0.9125633,1.8227919,0.23057407,1.9094228,2.64,-2.03,1.606284,Walking
5.5155106,6.3996744,12.11,-3.15,5.7770076,8.533058,6.4687,13.87,-0.57,6.068705,3.5136793,6.588974,12.76,-2.11,6.1642137,Walking
0.6341489,2.456648,4.1,-1.3075534,2.3105674,4.1641355,4.320923,10.19,0.27240697,4.017243,3.1152184,4.1271615,8.81,-0.84,3.7965212,Walking
3.2429879,3.6163137,8.31,0.10896278,3.3780086,3.448552,4.027961,9.08,-0.11,3.754299,3.8678083,4.1381354,9.72,0.93,3.9014614,Walking
4.4819436,4.0764446,10.23,1.2258313,3.8320372,4.7748203,4.497013,11.07,0.84446156,4.1967864,5.6453357,6.2482834,14.48,1.0760075,5.8897758,Walking
3.7893536,8.673733,15.32,-5.6,7.687097,4.672857,4.1754894,10.57,1.46,3.9314287,2.5902283,1.7983801,4.52,0.19068487,1.5996956,Walking
2.3630722,4.140655,6.59,-3.26,3.7487147,8.949894,8.435699,16.93,-2.72,7.77993,4.439373,2.876597,6.7,0.38,2.7062485,Walking
4.6853547,4.1047425,9.15,-0.76,3.6302366,4.71465,2.5760293,7.4639506,1.27,2.2964334,1.5081869,9.536413,14.79,-7.16,8.854543,Walking
7.802961,7.093599,15.02,-1.84,6.4286404,6.256594,3.2868629,8.689782,1.61,3.0977294,2.6841156,2.519065,5.79,-0.38,2.0705893,Walking
5.475675,9.002528,17.88,-3.21,8.269549,-0.7771819,1.144753,0.27,-2.37,1.0618786,4.939217,6.386058,12.98,-2.6423476,5.360522,Walking
7.151983,6.724743,16.59,1.42,6.2920117,1.9432613,3.2450044,6.02,-1.92,2.7178257,2.3355253,3.2841532,6.82,-0.95342433,2.98965,Walking
3.1547816,3.9073641,8.16,-1.3756552,3.3368123,3.6903257,5.1661916,10.61,-1.8,4.613116,1.4783431,3.8552413,6.93,-1.31,3.6344376,Walking
1.6230074,3.2226522,5.63,-2.2609777,2.6713283,4.861885,5.4805946,12.6,0.61,5.1587434,0.24317694,3.6102676,5.33,-2.68,3.3912153,Walking
2.9520159,3.4312572,7.63,-0.50395286,3.1186562,3.8542335,3.9757304,9.3,-0.08,3.6305113,4.432342,4.1326337,10.27,1.27,3.8917725,Walking
6.1575665,4.071456,11.8,2.3426998,3.7616224,5.683946,5.595058,13.57,1.18,5.2573686,4.4163213,6.1120152,13.06,0.08,5.7624526,Walking
2.4427068,2.428302,5.18,-0.7218784,2.1097238,-0.08527708,1.2721827,1.69,-1.2258313,1.183518,0.28080228,2.2004664,2.98,-2.41,1.7994652,Walking
9.919704,8.938258,17.69,-2.6,8.34647,2.8647873,2.5926106,4.7943625,-0.8,2.4431915,2.6286821,9.286265,15.24,-6.85,8.407545,Walking
